"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa04658","Th1 and Th2 cell differentiation",86,-0.566709190976041,-2.53779430588003,1e-10,1.735e-08,1.72756276319577e-08,4222,"tags=55%, list=21%, signal=44%","4773/5335/864/6777/5588/3558/5603/6775/3111/3559/3595/920/6300/919/3109/3113/54567/5970/917/7297/3112/3718/3122/3117/4854/3594/30009/6776/4793/4851/3108/3115/3592/27040/3932/3460/3714/3566/7535/916/3119/3561/3596/915/4794/3123/5600/3127",NA
"hsa04640","Hematopoietic cell lineage",85,-0.521479345750465,-2.32875464841206,1.8545505671953e-08,1.28705809363354e-06,1.28154100094008e-06,3929,"tags=47%, list=19%, signal=38%","929/945/100133941/3111/3559/951/3678/966/920/4311/3568/3109/1435/3113/917/930/7124/3684/3112/3122/3117/933/2209/3590/3690/2323/921/924/3108/3115/914/3589/3566/916/3119/926/915/925/3123/3127",0.73376198835648
"hsa04672","Intestinal immune network for IgA production",44,-0.596629962681501,-2.2977511118736,3.22969614358528e-07,1.60100651689156e-05,1.59414365545569e-05,3954,"tags=53%, list=20%, signal=43%","958/3558/942/3111/3109/3113/7040/115650/3112/3122/3117/9020/3601/23495/6370/3108/3115/2826/3119/3695/941/3123/3127/608",0.674962860011025
"hsa05310","Asthma",23,-0.699858339010106,-2.29681074922215,3.35789671445786e-06,0.00014564876998961,0.000145024433163871,3954,"tags=71%, list=20%, signal=57%","958/2206/3111/3109/3113/2207/7124/3112/3122/3117/3108/3115/3119/3596/5553/3123/3127",0.627256739718528
"hsa03010","Ribosome",171,-0.454597707556854,-2.25688542599225,2.63548092872917e-10,3.04837294089674e-08,3.03530581039009e-08,4627,"tags=51%, list=23%, signal=40%","6218/6228/6144/6124/51116/51073/6202/54948/64951/6191/11224/51373/6160/6194/6207/6206/10240/64976/6187/9349/6159/25873/78988/64975/6168/55168/64978/10399/64968/6208/6135/51258/6223/6209/6125/90480/6164/6193/6234/128308/6130/122704/6232/6154/6132/6155/3921/6217/6165/6134/51642/51069/6176/6227/6157/6158/6136/6182/6143/6171/23521/6138/6161/6141/200916/7311/6147/6233/4736/6201/6137/6181/6222/9045/2197/6203/65003/6142/6205/6152/6204/6230/6235/6188/6122/6166/64928",0.814035837847908
"hsa04659","Th17 cell differentiation",100,-0.475616677479997,-2.19939200552191,1.74468027377915e-07,1.00900675833561e-05,1.00468155822102e-05,4222,"tags=48%, list=21%, signal=38%","4773/5335/6777/10148/5588/3558/5603/3111/3559/59067/920/6300/919/3109/3113/7040/5970/917/7297/3112/3718/3122/3117/3594/30009/6776/4793/3108/3115/27040/3932/3662/246778/3460/3566/7535/916/3119/50943/50615/3561/915/4794/9466/6257/3123/5600/3127",0.690132458796796
"hsa05150","Staphylococcus aureus infection",65,-0.506481924653694,-2.16898028745355,4.07940752860773e-06,0.000157283823602987,0.000156609612051627,3666,"tags=50%, list=18%, signal=41%","714/3111/2359/6403/5724/3109/3113/3683/713/3684/3112/3122/3117/3689/2213/2212/2209/717/6404/3108/3115/3857/10747/3861/712/3872/3119/2214/1675/3123/3127/820/3885",0.610526878385931
"hsa04060","Cytokine-cytokine receptor interaction",240,-0.412716713448276,-2.1514979052678,1e-10,1.735e-08,1.72756276319577e-08,5374,"tags=45%, list=27%, signal=34%","1233/51554/3575/53342/3458/2057/1235/1436/6347/8807/4803/284340/3593/1441/10220/1439/6348/6375/729230/3625/5008/8808/133396/10148/958/3558/57007/6351/6361/2829/3559/59067/643/1236/6362/6357/3455/3595/3587/920/151449/6846/3568/8764/1435/85480/23765/3604/7040/6373/7124/6366/6349/7133/58191/115650/356/6354/51330/392255/9966/9560/3601/3594/23495/3590/146433/4804/2662/3627/23529/6370/8742/6368/3592/84957/353500/4049/246778/3460/3589/94/6352/2826/3566/6376/50615/3561/6367/2833/1234/3596/6355/10663/939/268/4283/27190/8784/9466/4050/7293/3598/656/9235/654/8718/2688/608",NA
"hsa05321","Inflammatory bowel disease",57,-0.521227652234481,-2.15112725470368,6.23557480288697e-06,0.000216374445660178,0.000215446936731787,3879,"tags=47%, list=19%, signal=38%","3558/6775/3111/59067/3595/3109/3113/7040/5970/7124/3112/3122/3117/3594/30009/3108/3115/3592/3460/3566/3119/50943/50615/3561/3596/3123/3127",0.610526878385931
"hsa05340","Primary immunodeficiency",35,-0.568772730241323,-2.14506668888329,8.05106273482617e-05,0.00186247917932312,0.00185449549131184,5763,"tags=71%, list=28%, signal=51%","8625/6890/4261/29851/3575/29760/958/695/6891/920/930/115650/3718/84876/23495/3932/326/7535/916/3561/100/926/915/925/973",0.538434096309916
