"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa04110","Cell cycle",155,0.516457220152757,2.58059929227399,1e-10,3.47e-08,3.47e-08,3978,"tags=49%, list=20%, signal=40%","25836/27085/9319/5933/6502/23047/57082/7534/4173/4175/701/8317/10926/4998/9134/5591/990/2932/1111/2033/26271/5111/157570/546/4088/993/55869/10403/9700/1871/51434/10735/898/3065/983/1017/114799/4085/8318/9126/4087/23063/1870/1387/8243/151648/4174/890/5528/699/8556/1027/11200/4999/4171/996/5885/5519/995/5347/4089/9184/23244/64682/90381/7465/7272/10459/5001/7533/1021/10393/27127/7529/9133/10274",NA
"hsa03030","DNA replication",36,0.652656438962086,2.44883035904778,1.97683531020944e-07,1.14326975440446e-05,1.14326975440446e-05,3554,"tags=67%, list=18%, signal=55%","1763/5422/4173/4175/5983/5982/5426/10535/5557/10714/79621/5111/5984/5427/5985/4174/54107/29935/4171/5558/5981/2237/6742/23649",0.690132458796796
"hsa03013","Nucleocytoplasmic transport",103,0.51053374855152,2.41196759074712,1.24940306695796e-09,1.44514288078138e-07,1.44514288078138e-07,3691,"tags=42%, list=18%, signal=34%","9631/55705/55916/57122/65109/7175/10762/57187/23039/23165/8021/6612/55746/64328/55110/23534/4686/9818/23279/100101267/1434/7341/25909/9972/55706/79023/53371/59343/7514/10250/4116/8480/23511/9939/3837/129401/9883/4928/3839/10526/30000/55161/23633",0.788186810800237
"hsa04382","Cornified envelope formation",151,-0.454610313139397,-2.30872687091639,2.21791392880297e-10,3.84808066647315e-08,3.84808066647315e-08,5539,"tags=48%, list=27%, signal=35%","9069/10686/1365/3855/84283/55304/1829/3850/3851/3914/6706/3854/242/151516/6275/6278/9517/5317/6273/5526/7051/7122/338785/9080/3885/3872/667/3860/1830/6768/3655/26154/100506658/5046/2312/24146/3882/7053/3861/59344/2125/3852/9076/3868/1285/823/5318/5339/3918/3857/3911/3909/285848/6281/5010/3856/1308/6277/3866/3884/3853/5493/1286/3728/3880/6284/1832/144501/1288/3875/1287/3691/140576",0.826657301178302
"hsa03430","Mismatch repair",23,0.666871831536488,2.22741219394754,2.83509945800109e-05,0.00096234639956439,0.00096234639956439,4075,"tags=65%, list=20%, signal=52%","5983/4436/5982/10714/5111/9156/2956/5984/5985/29935/5981/4292/6742/4437/5395",0.575610261071129
"hsa03010","Ribosome",171,-0.422401816622468,-2.19551991603397,6.12476580786662e-09,5.31323433832429e-07,5.31323433832429e-07,5510,"tags=52%, list=27%, signal=38%","6191/6189/6229/6192/23107/6171/6201/64949/78988/6125/65003/64978/3396/6222/79590/6161/740/29093/92259/28957/6169/51069/65993/63875/6170/6159/6193/118487/64969/6157/6210/6209/6227/64951/26589/84545/6168/6142/3921/6124/28973/6235/6207/6152/6233/6138/6155/6202/116541/6158/84311/6137/6203/6182/2197/6130/9553/6166/64975/51121/6160/6154/6164/6183/25873/6143/6134/9349/6230/6122/4736/6223/10399/6206/6234/51065/6188/29074/6181/6205/6228/6176/6141/200916/6217/6208/6147/6165/23521",0.761460801445585
"hsa00350","Tyrosine metabolism",29,-0.587645545662353,-2.1319661072537,7.29385900788377e-05,0.00180783505409691,0.00180783505409691,3668,"tags=52%, list=18%, signal=42%","127/8639/1638/2184/4129/4282/1312/130/124/125/7054/2806/7173/126/316",0.538434096309916
"hsa03015","mRNA surveillance pathway",90,0.467897129181713,2.12970188498274,1.08276595191578e-06,5.36742550449678e-05,5.36742550449678e-05,6838,"tags=59%, list=34%, signal=39%","9887/55916/65109/1478/81608/55110/1479/5501/56903/4686/80335/26986/23435/642843/11052/55339/1477/51692/5528/10250/55012/100529063/5519/4116/9939/5520/23049/53981/51585/5411/5529/2733/64895/29107/8731/10767/84305/5521/22985/8732/26019/65110/29101/5522/2935/5515/5525/11269/10921/5500/9775/7919/132430",0.643551836150722
"hsa00830","Retinol metabolism",42,-0.509961032869631,-2.02424619157371,0.000175155517038857,0.00337660913402685,0.00337660913402685,7496,"tags=79%, list=37%, signal=50%","51109/7367/8630/112724/10170/56603/10901/1577/54905/8854/8608/317749/8228/220/54658/1576/54575/29785/8694/53630/127/5959/54884/201140/1551/1558/130/124/125/126/316/340665/1592",0.518848077743792
"hsa03440","Homologous recombination",41,0.527830111124633,2.01352980800317,0.000100812881977047,0.00233213800306902,0.00233213800306902,4723,"tags=51%, list=23%, signal=39%","580/11073/675/4683/83990/641/10714/79184/5932/672/29935/146956/84142/6742/79728/25788/5892/7979/8438/7516/472",0.538434096309916
