"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa04382","Cornified envelope formation",151,0.507353056226831,2.46763902451202,1e-10,1.735e-08,1.735e-08,4180,"tags=44%, list=21%, signal=35%","1287/1288/3691/3880/3909/3875/1832/1308/5493/140576/24146/3853/5318/3866/26154/3655/3918/3884/3852/3728/6281/5010/3856/7051/9517/2125/6277/3914/59344/823/100506658/144501/9076/6768/3911/3882/7053/3857/286887/1830/285848/6284/3860/3868/9080/2053/3886/1286/9069/242/3861/1285/3713/6705/6278/1829/6706/9333/204219/6704/3855/667/151516/2312/3850/5516",NA
"hsa04110","Cell cycle",155,-0.508363297484075,-2.44325095898377,1e-10,1.735e-08,1.735e-08,2713,"tags=39%, list=13%, signal=34%","8243/4171/9133/891/1871/4088/8556/7040/5528/9184/4085/1869/11200/9232/991/7534/9088/151648/157570/5591/995/55869/1870/10926/113130/2033/7272/9134/9212/699/23047/4175/1111/983/890/10459/90381/26271/10403/5347/5111/6502/4174/27127/898/8318/993/8317/51434/9700/4173/990/3065/701/57082/4998/5933/25836/9319/27085",NA
"hsa00830","Retinol metabolism",42,0.631642506784913,2.43101554514452,1.52254711929983e-07,1.05664770079408e-05,1.05664770079408e-05,2563,"tags=45%, list=13%, signal=40%","1592/316/340665/8854/53630/130/126/1576/8228/1551/1577/124/125/8608/128/54884/127/8630/9227",0.690132458796796
"hsa03030","DNA replication",36,-0.629222976176958,-2.31232390649746,1.31143247397286e-06,7.58445114114301e-05,7.58445114114301e-05,3071,"tags=53%, list=15%, signal=45%","2237/10714/23649/4171/5557/5427/79621/5984/29935/4175/5983/5982/5111/5422/4174/4173/5426/10535/1763",0.643551836150722
"hsa03013","Nucleocytoplasmic transport",103,-0.484033012915615,-2.18023320507663,1.1956495692065e-07,1.03722600128664e-05,1.03722600128664e-05,6825,"tags=62%, list=34%, signal=41%","5411/9775/5976/11097/9688/81929/26019/10526/79902/55706/2733/4928/10189/7341/53371/3837/7514/23633/387082/9939/84305/22985/23214/10921/3838/22794/9972/9883/11260/3839/55746/23279/6612/64901/4116/79023/348995/6396/9984/9818/25909/10250/100101267/23039/30000/23636/64328/1434/23534/4686/7175/29107/8480/23165/23511/57187/55916/8021/10762/55110/57122/55705/65109/9631",0.690132458796796
"hsa00982","Drug metabolism - cytochrome P450",42,0.559007988604818,2.15146557674757,1.33103848528104e-05,0.000513189282658358,0.000513189282658358,4233,"tags=52%, list=21%, signal=42%","2947/316/130/126/1576/2327/2326/1577/124/125/2949/4129/128/2944/2950/127/221/1558/4257/119391/54575/373156",0.593325476396405
"hsa00350","Tyrosine metabolism",29,0.61614251507972,2.14984224208032,2.00054646326375e-05,0.000694189622752522,0.000694189622752522,3578,"tags=55%, list=18%, signal=45%","1638/316/130/2806/126/7173/124/125/4129/128/127/221/7054/8639/2184/4282",0.575610261071129
"hsa03460","Fanconi anemia pathway",51,-0.538184192585106,-2.138496963061,9.27439434549985e-06,0.000402276854736056,0.000402276854736056,2003,"tags=33%, list=10%, signal=30%","2176/57697/84126/7156/55215/29935/83990/2189/672/2187/146956/2177/84464/2175/29089/641/675",0.593325476396405
"hsa03010","Ribosome",171,0.422527138490721,2.12464732639694,1.82039866449382e-08,2.10559445526452e-06,2.10559445526452e-06,7145,"tags=64%, list=35%, signal=42%","6165/6147/4736/200916/23521/84311/6164/6166/6228/10399/6208/28973/6230/6234/6152/23107/6189/6138/6188/6217/124995/6160/6134/6130/6176/51065/6207/6141/6124/92259/3921/6235/25873/9553/6206/6233/6122/6202/6150/6205/6223/6171/9349/6181/6137/6161/6183/56945/6143/6168/740/51121/26589/6158/6133/6210/6155/29074/2197/6154/6232/6129/116541/6191/51649/6170/6203/6144/6182/6169/6209/51263/54948/65993/64969/29093/6125/64975/6157/118487/64951/6229/6194/6227/28957/6142/64432/6193/51650/9045/6159/6136/63875/84545/51081/6128/60488/6222/6135/55168/65003/6175/78988/3396/11224/6192/51187/6187/79590/51021",0.73376198835648
"hsa00590","Arachidonic acid metabolism",53,0.513896544733182,2.07348024713277,2.53399705570081e-05,0.000713479474829854,0.000713479474829854,5011,"tags=42%, list=25%, signal=31%","5740/145482/5320/11145/5322/113612/1573/81579/59344/151056/2687/2053/242/4056/391013/8644/1558/54979/3248/5321/246/247",0.575610261071129
