"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ENTREZID","symbol","genename"
"ENSG00000251136",-0.876423775300147,3.56490679803559,-5.10527174670066,1.95138347930248e-06,0.00859665966410938,4.78117188830994,"101929709","PARAIL","palmitic acid regulated anti-inflammatory lncRNA"
"ENSG00000156787",-1.24201005386135,3.02993756110859,-5.10137547880965,1.9824720572164e-06,0.00859665966410938,4.77306856970445,"93594","TBC1D31","TBC1 domain family member 31"
"ENSG00000028310",-0.958025971486125,5.73937276407847,-5.04846020807018,2.45576571746666e-06,0.00912773034814967,4.5238275056889,"65980","BRD9","bromodomain containing 9"
"ENSG00000187951",-1.45360511457134,2.5337998137774,-4.94933904423207,3.65678711877635e-06,0.0105941578943629,4.20689031749822,"100288637","LOC100288637","OTU deubiquitinase 7A pseudogene"
"ENSG00000113456",-1.16182195442956,4.714383389334,-4.94880023895895,3.66467142167986e-06,0.0105941578943629,4.1541762720018,"5810","RAD1","RAD1 checkpoint DNA exonuclease"
"ENSG00000154124",-1.04658534708012,5.252265315671,-4.86160499903468,5.18491793930887e-06,0.0117498718783387,3.81989060070459,"90268","OTULIN","OTU deubiquitinase with linear linkage specificity"
"ENSG00000173545",-1.04463473064505,4.51902940544707,-4.85044145417599,5.41926599047062e-06,0.0117498718783387,3.79166133192245,"90441","ZNF622","zinc finger protein 622"
"ENSG00000280213",-1.9714901729067,-1.86400672631417,-4.81808953465534,6.15818333084915e-06,0.0123248933770795,3.51741163973078,"100113386","UCKL1-AS1","UCKL1 antisense RNA 1"
"ENSG00000038382",-1.32475358345649,7.46474057137999,-4.73052560780781,8.68468785231774e-06,0.012858068588912,3.34419690212307,"7204","TRIO","trio Rho guanine nucleotide exchange factor"
"ENSG00000089094",-0.671111873290739,5.28510571507333,-4.71850036592072,9.10223994483581e-06,0.012858068588912,3.29053945106746,"84678","KDM2B","lysine demethylase 2B"
"ENSG00000152620",-1.57770450317432,5.14580313203856,-4.71124229826087,9.3636365627035e-06,0.012858068588912,3.26249995154806,"133686","NADK2","NAD kinase 2, mitochondrial"
"ENSG00000153395",-1.42432169102716,6.4160439012242,-4.71052724421754,9.38978027478393e-06,0.012858068588912,3.26103857374047,"79888","LPCAT1","lysophosphatidylcholine acyltransferase 1"
"ENSG00000184903",1.19226946593524,2.8735909586164,4.65463564613497,1.16682902163491e-05,0.0151792787424485,3.11410641890897,"83943","IMMP2L","inner mitochondrial membrane peptidase subunit 2"
"ENSG00000258932",-3.09557897791454,-5.19700800558272,-4.77037408795207,7.42990711968064e-06,0.012858068588912,3.06506598071863,"326323","RPS27AP4","RPS27A pseudogene 4"
"ENSG00000130816",-0.950356944106685,6.29513548993883,-4.63483966827078,1.25974912621823e-05,0.0156076917933075,2.98056002864681,"1786","DNMT1","DNA methyltransferase 1"
