"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ENTREZID","symbol","genename"
"ENSG00000111664",-1.16952976029797,2.85693492290658,-4.31539318130117,4.23286640037407e-05,0.209929548541671,1.84884786654763,"2784","GNB3","G protein subunit beta 3"
"ENSG00000186815",-0.48522406021524,6.43006821775793,-4.27529252837145,4.91177703940351e-05,0.209929548541671,1.82938236944524,"53373","TPCN1","two pore segment channel 1"
"ENSG00000170088",0.620795546703777,4.41679792746112,4.13035934156752,8.35342346060526e-05,0.209929548541671,1.35529982164841,"201931","TMEM192","transmembrane protein 192"
"ENSG00000186297",-2.40534235521488,-2.31081455369327,-4.38370338460555,3.27951898583824e-05,0.209929548541671,1.31731447097974,"2558","GABRA5","gamma-aminobutyric acid type A receptor subunit alpha5"
"ENSG00000256546",-1.13770454675257,0.927077917366017,-4.16831732147242,7.27618804989954e-05,0.209929548541671,1.16761881336598,"100506691","LINC02985","long intergenic non-protein coding RNA 2985"
"ENSG00000147419",0.375644412350336,5.1231710006155,4.00798857691535,0.000129714538963109,0.209929548541671,0.95917283231025,"55246","CCDC25","coiled-coil domain containing 25"
"ENSG00000116574",0.878904418560184,6.27053539230855,4.00797978448098,0.000129718604391721,0.209929548541671,0.949846241167637,"58480","RHOU","ras homolog family member U"
"ENSG00000004660",-0.593349799870352,3.49136017477419,-3.99318330683214,0.000136736048731227,0.209929548541671,0.897411631946215,"84254","CAMKK1","calcium/calmodulin dependent protein kinase kinase 1"
"ENSG00000141232",1.00725582805522,5.91764668437124,3.9854281845529,0.000140557910110467,0.209929548541671,0.879006018536396,"10140","TOB1","transducer of ERBB2, 1"
"ENSG00000164342",0.973360297416519,3.37777565872185,3.96565280582602,0.000150772397595579,0.209929548541671,0.801180117239589,"7098","TLR3","toll like receptor 3"
"ENSG00000239305",0.432872839820033,5.41885727354059,3.90205793851787,0.000188662303423472,0.209929548541671,0.618379514857605,"7844","RNF103","ring finger protein 103"
