"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa03010","Ribosome",171,0.530793678542034,2.64467388033145,1e-10,1.15666666666667e-08,1.15666666666667e-08,4943,"tags=58%, list=24%, signal=44%","6165/6166/4736/6147/200916/6188/23521/6230/6122/6152/6235/6164/6205/10399/6138/6228/6208/6141/6234/6233/6181/6217/6137/6134/6176/6130/3921/6171/6161/6160/6143/2197/6207/25873/6203/6189/6223/6206/6124/28973/6158/9349/6202/64928/6142/6168/6155/6232/6154/6182/9045/65003/6157/6183/6222/6209/6227/6125/6191/6136/64975/6144/54948/6201/6193/6133/740/6169/64951/6194/116541/6159/51069/6210/6135/6170/55168/78988/6150/124995/6187/9553/11224/6229/84311/10240/29074/122704/26589/65993/51065/6128/6129/51116/7311/118487/56945/63875/84545",NA
"hsa04110","Cell cycle",155,-0.532490318171649,-2.62780859681512,1e-10,1.15666666666667e-08,1.15666666666667e-08,3887,"tags=50%, list=19%, signal=40%","5925/7529/9232/8556/1027/23244/5000/8555/4171/5001/2932/1869/23594/9212/8243/1387/9088/1870/991/898/4088/113130/2033/8697/23063/9126/55869/9133/8318/3065/9184/1871/64682/5347/4999/90381/8317/10735/996/891/993/10403/10926/4085/114799/472/890/27127/983/995/699/5111/9700/4089/5885/7272/546/26271/151648/9134/4087/157570/7534/4175/23047/1111/5591/990/57082/4998/4173/9319/5933/701/6502/27085/25836",NA
"hsa05171","Coronavirus disease",206,0.497964027809903,2.55656934809247,1e-10,1.15666666666667e-08,1.15666666666667e-08,2979,"tags=39%, list=15%, signal=34%","6165/6166/4736/6147/6403/200916/6188/23521/6230/6122/6152/6235/6164/6205/715/6138/6228/6208/6141/6234/6233/6181/6217/6137/6134/6176/6130/3661/3921/720/6171/6161/716/1675/6160/6143/2197/6207/25873/6203/6189/6223/6206/6124/6158/7132/9349/6202/5600/6142/6168/6155/6232/6154/6774/340061/9045/6157/6222/718/5970/6209/1440/6227/6125/6191/6136/3592/2353/6144/5603/6201/6193/6133/6169/5582/6194/6159/4793/6210/6135",NA
"hsa03440","Homologous recombination",41,-0.627258688288992,-2.36845307828323,1.88655878689108e-07,1.30927179810241e-05,1.30927179810241e-05,2081,"tags=41%, list=10%, signal=37%","8438/672/79728/5892/10714/146956/7516/641/472/25788/5932/79184/4683/580/83990/11073/675",0.690132458796796
"hsa03460","Fanconi anemia pathway",51,-0.564107580203434,-2.28771243811467,8.60469719541576e-07,4.97638321134878e-05,4.97638321134878e-05,3614,"tags=53%, list=18%, signal=44%","55120/51455/378708/116028/22909/29935/5980/5395/2175/2072/84464/11201/51426/672/79728/57697/146956/641/2176/80010/7398/55215/29089/2177/2187/83990/675",0.659444398037935
"hsa03013","Nucleocytoplasmic transport",103,-0.4863889754921,-2.24929920221623,6.03106303701821e-08,5.2319471846133e-06,5.2319471846133e-06,3159,"tags=38%, list=16%, signal=32%","10762/9883/100101267/3839/30000/3842/10250/26019/10526/2733/3837/23633/7341/11260/8480/23165/6612/55706/9818/8021/57122/23534/79023/348995/25909/64328/7514/7175/4686/23039/55746/1434/55110/23279/55705/57187/65109/55916/9631",0.704975715167238
"hsa03430","Mismatch repair",23,-0.666938274421401,-2.22726930852317,2.37439650714761e-05,0.000633781221523245,0.000633781221523245,3649,"tags=57%, list=18%, signal=46%","5981/29935/5395/5985/5982/10714/5984/2956/4437/5111/5983/9156/4436",0.575610261071129
"hsa00982","Drug metabolism - cytochrome P450",42,0.579593978246603,2.22699765907727,6.56095638263776e-06,0.00022766518647753,0.00022766518647753,6929,"tags=71%, list=34%, signal=47%","2947/2949/7367/2327/2944/2938/316/4129/2328/125/373156/2950/2326/126/1558/1576/2946/119391/2941/124/1577/9446/653689/127/4258/2953/54575/218/54658/2948",0.610526878385931
"hsa00980","Metabolism of xenobiotics by cytochrome P450",45,0.535303300605507,2.10214882211934,2.18444901465721e-05,0.00063166984007171,0.00063166984007171,7561,"tags=76%, list=37%, signal=47%","2947/2949/7367/2944/2938/125/373156/2950/126/1576/27294/2946/119391/2941/124/1577/1545/1645/8574/9446/653689/127/4258/2052/2953/54575/218/54658/874/2948/29785/4257/374875/221",0.575610261071129
"hsa03030","DNA replication",36,-0.551578701696667,-2.05185055840006,0.000252838361947051,0.00398795052707393,0.00398795052707393,5417,"tags=67%, list=27%, signal=49%","6118/54107/5427/5558/4174/2237/23649/5981/4171/29935/79621/5985/5426/5982/5557/10714/5984/5111/10535/5983/4175/5422/4173/1763",0.49849310876659
