"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ENTREZID","symbol","genename"
"ENSG00000251136",0.948592075141619,3.56490679803559,5.46153940669962,4.49427659527317e-07,0.00365742708689204,6.12139667432612,"101929709","PARAIL","palmitic acid regulated anti-inflammatory lncRNA"
"ENSG00000143190",0.846873319202492,4.93851038806894,5.35416401621943,7.02864764180959e-07,0.00365742708689204,5.73932753426429,"5451","POU2F1","POU class 2 homeobox 1"
"ENSG00000258038",3.46520635860325,-5.79192299912798,5.23990177808882,1.12630794563336e-06,0.00488404668824812,3.75248522705844,"102724917","LINC02327","long intergenic non-protein coding RNA 2327"
"ENSG00000164190",1.04882117071489,6.59181669505694,4.70278142115142,9.67756737434161e-06,0.0256049731715634,3.30143685621358,"25836","NIPBL","NIPBL cohesin loading factor"
"ENSG00000082213",1.24838270665916,4.56913887972428,4.69847506577215,9.84125342899661e-06,0.0256049731715634,3.28974799251743,"55322","C5orf22","chromosome 5 open reading frame 22"
"ENSG00000113569",1.26925365150455,5.26053191136375,4.63376356791853,1.26500093528667e-05,0.0260536133955462,3.0526131378092,"9631","NUP155","nucleoporin 155"
"ENSG00000151376",-1.7416049576512,4.90435139802226,-4.59189409895886,1.48668208679837e-05,0.0260536133955462,2.90168235409481,"10873","ME3","malic enzyme 3"
"ENSG00000175782",0.561927868171358,4.15681558105305,4.56655570206233,1.6386774831937e-05,0.0260536133955462,2.82788469247954,"55508","SLC35E3","solute carrier family 35 member E3"
"ENSG00000090612",0.847864171585433,4.3729009104595,4.55485390770652,1.71385887170452e-05,0.0260536133955462,2.78353547049672,"10795","ZNF268","zinc finger protein 268"
"ENSG00000164327",1.31567442628099,6.02811828356665,4.55286310929229,1.72697779570204e-05,0.0260536133955462,2.76420739302583,"253260","RICTOR","RPTOR independent companion of MTOR complex 2"
"ENSG00000172262",1.08581113871458,5.22107757156012,4.5387438220819,1.82285441483923e-05,0.0260536133955462,2.71466828703381,"7690","ZNF131","zinc finger protein 131"
"ENSG00000113456",1.069437555525,4.714383389334,4.5267961020628,1.90799707484271e-05,0.0260536133955462,2.67594975731225,"5810","RAD1","RAD1 checkpoint DNA exonuclease"
"ENSG00000089094",0.641832909211289,5.28510571507333,4.47802102281852,2.29731874989134e-05,0.0260536133955462,2.50168194965063,"84678","KDM2B","lysine demethylase 2B"
"ENSG00000285437",1.19329975170887,1.38413131557238,4.47743086290039,2.30247073384546e-05,0.0260536133955462,2.42201487927889,"548644","POLR2J3","RNA polymerase II subunit J3"
"ENSG00000112972",1.4899215184265,6.07370481963387,4.44942066947092,2.56028253370086e-05,0.026732600899754,2.40105061205214,"3157","HMGCS1","3-hydroxy-3-methylglutaryl-CoA synthase 1"
"ENSG00000203666",0.79256458300078,3.42490483366586,4.44166805354729,2.6364393816168e-05,0.026732600899754,2.3962396231001,"84288","DRC8","dynein regulatory complex subunit 8"
"ENSG00000164989",1.00619705272866,1.61031162897483,4.43818037234652,2.67141065183182e-05,0.026732600899754,2.30606581510423,"203238","CCDC171","coiled-coil domain containing 171"
