"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ENTREZID","symbol","genename"
"ENSG00000184903",1.19226946593524,2.8735909586164,4.65463564613497,1.16682902163491e-05,0.0151792787424485,3.11410641890897,"83943","IMMP2L","inner mitochondrial membrane peptidase subunit 2"
"ENSG00000150938",1.86858025886668,8.24930920692542,4.6227132104329,1.32017563332815e-05,0.0156128771036053,2.93682122905204,"51232","CRIM1","cysteine rich transmembrane BMP regulator 1"
"ENSG00000188153",2.83784091083722,6.08571019625466,4.50478449690544,2.07505466675e-05,0.0195358432665797,2.58377920737676,"1287","COL4A5","collagen type IV alpha 5 chain"
"ENSG00000163995",2.49833137956952,3.70999806165403,4.46906241396117,2.37674052964676e-05,0.0199477532581772,2.47423230875665,"84448","ABLIM2","actin binding LIM protein family member 2"
"ENSG00000169908",2.97522599039168,9.33845670760153,4.3578257209807,3.61332526228086e-05,0.0238889182738716,1.99522295800096,"4071","TM4SF1","transmembrane 4 L six family member 1"
"ENSG00000120885",2.93476311876455,8.46609971146618,4.33432627963997,3.94471065299318e-05,0.0238889182738716,1.90956762196407,"1191","CLU","clusterin"
"ENSG00000151376",1.61051844844342,4.90435139802226,4.26246464568458,5.15030861363053e-05,0.0297779398909865,1.76954088274488,"10873","ME3","malic enzyme 3"
"ENSG00000240583",2.31006707616952,8.75378939859722,4.18551176771123,6.83343256365656e-05,0.0341908170079262,1.39615449649749,"358","AQP1","aquaporin 1 (Colton blood group)"
"ENSG00000133134",3.4252830583642,2.04225646941079,4.07072556497936,0.000103614964370203,0.038761029699536,1.11413354831515,"84707","BEX2","brain expressed X-linked 2"
"ENSG00000234432",3.16163393277493,-1.67371722806513,4.13865876200113,8.10552756753474e-05,0.0358837982540362,0.964133797716132,"100129484","LINC02983","long intergenic non-protein coding RNA 2983"
"ENSG00000244694",2.81102935386959,1.38961749796694,4.0144788931816,0.000126746651774983,0.0428271998166431,0.92686597574104,"442213","PTCHD4","patched domain containing 4"
"ENSG00000124374",1.62430924375713,1.71636527497854,3.98331681065187,0.000141616031289761,0.044933730513378,0.86703115834304,"400961","PAIP2B","poly(A) binding protein interacting protein 2B"
"ENSG00000235961",2.64010866019851,0.616740936346979,3.96147284156967,0.000153020671973523,0.0468241450884735,0.738415799697557,"84968","PNMA6A","PNMA family member 6A"
"ENSG00000119703",1.8273012734407,0.809404729396992,3.94697257648197,0.000161071405425813,0.0468241450884735,0.733364855702313,"79696","ZC2HC1C","zinc finger C2HC-type containing 1C"
"ENSG00000154277",2.82498424041806,6.34914482185415,3.95074244763369,0.00015894016385109,0.0468241450884735,0.70184570171471,"7345","UCHL1","ubiquitin C-terminal hydrolase L1"
"ENSG00000197565",4.10739430193201,2.80668556568747,3.92705477835833,0.00017279343475653,0.0478270168669724,0.6835672239684,"1288","COL4A6","collagen type IV alpha 6 chain"
